"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge"
"230",48203407010497,2011,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1348.25790061694,32,267,83,48.3449410663866
"231",48203415010497,2011,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2524.98995740336,67,360,114,49.0293646198586
"232",48203416010497,2011,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,5355.367993792,61,NA,88,NA
"233",48203580010497,2011,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1997.86502865117,78,NA,101,49.5176472793474
"234",48203582010497,2011,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,2592.9470347497,85,NA,66,50.4879618352048
"235",48203583010497,2011,0,21,11,"Lodgepole pine","Ponderosa and Jeffrey pines","Forest Service",10,3955.21725382,73,NA,94,NA
"236",48203584010497,2011,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4430.3838071113,44,NA,150,NA
"237",48204842010497,2011,0,12,10,"True fir","Douglas-fir","Forest Service",10,10463.1133091532,44,NA,151,NA
"238",48204880010497,2011,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Private and Native American",40,868.687078539472,45,NA,50,49.8050024508071
"239",48204921010497,2011,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,1544.94581225882,71,138,72,49.9736533817041
"240",48204962010497,2011,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,495.258836010764,64,NA,29,NA
"241",48205239010497,2011,0,12,NA,"True fir",NA,"Other Federal",20,2410.81809743059,38,NA,105,NA
"242",48205259010497,2011,0,12,20,"True fir","Incense-cedar","Forest Service",10,1287.62049297387,34,NA,NA,NA
"243",48205474010497,2011,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,2039.45412463203,72,NA,93,49.5241551595192
"244",48205696010497,2011,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,2736.94290975265,57,NA,101,48.9656353895235
"245",216958729020004,2014,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,559.801599798632,71,47,43,50.9783612823329
"246",216958885020004,2014,0,24,48,"Other western softwoods","Woodland hardwoods","Other Federal",20,3266.12842973684,64,163,64,NA
"247",216958906020004,2014,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,2703.24658303039,45,NA,85,NA
"248",216959085020004,2014,0,12,14,"True fir","Sugar pine","Private and Native American",40,2453.54761084781,49,72,108,NA
"249",216959094020004,2014,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,444.484249834064,68,NA,53,NA
"250",216959095020004,2014,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,2285.78033095673,81,NA,96,49.6807688821537
